submitter,station,buyer,advertiser,candidate,contract_id,start_time,end_time,start_date,end_date,spots_per_week,rate_per_spot,race,election,youtube_id,description,ad_name
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5 a.m.,7 a.m.,7/2/2012,7/8/2012,2,200,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5 a.m.,7 a.m.,7/9/2012,7/15/2012,1,200,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,7 a.m.,9 a.m.,7/2/2012,7/8/2012,4,35,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,7 a.m.,9 a.m.,7/9/2012,7/15/2012,2,35,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,7 a.m. ,9 a.m.,7/2/2012,7/8/2012,2,35,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 a.m.,11 a.m.,7/2/2012,7/8/2012,2,65,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 a.m.,11 a.m.,7/9/2012,7/15/2012,1,65,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,12 p.m.,12:30 p.m.,7/2/2012,7/8/2012,2,45,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,12 p.m.,12:30 p.m.,7/9/2012,7/15/2012,1,45,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,12:30 p.m.,2 p.m.,7/2/2012,7/8/2012,4,60,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,12:30 p.m,2 p.m.,7/9/2012,7/15/2012,2,60,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,3 p.m.,4 p.m.,7/2/2012,7/8/2012,2,25,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,3 p.m.,4 p.m.,7/9/2012,7/15/2012,1,25,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,11 a.m.,12 p.m.,7/2/2012,7/8/2012,2,75,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,11 a.m.,12 p.m.,7/9/2012,7/15/2012,1,75,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5 p.m.,5:30 p.m.,7/2/2012,7/8/2012,2,115,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5 p.m.,5:30 p.m.,7/9/2012,7/15/2012,1,115,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5:28 p.m.,6 p.m.,7/2/2012,7/8/2012,2,140,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,5:28 p.m.,6 p.m.,7/9/2012,7/15/2012,1,140,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,6 p.m.,6:30 p.m.,7/2/2012,7/8/2012,2,200,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,6 p.m.,6:30 p.m.,7/9/2012,7/15/2012,1,200,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,6 p.m.,6:30 p.m.,7/2/2012,7/8/2012,1,200,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,6:30 p.m.,7 p.m.,7/2/2012,7/8/2012,3,400,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,6:30 p.m.,7 p.m.,7/9/2012,7/15/2012,1,400,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 p.m.,10:35 p.m.,7/2/2012,7/8/2012,2,285,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 p.m.,10:35 p.m.,7/9/2012,7/15/2012,1,285,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 p.m.,10:35 p.m.,7/2/2012,7/8/2012,1,285,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10 p.m.,10:35 p.m.,7/2/2012,7/8/2012,1,285,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10:37 p.m.,11:37 p.m.,7/2/2012,7/9/2012,2,85,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,304390,10:37 p.m.,11:37 p.m.,7/9/2012,7/15/2012,1,85,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,4:30 a.m.,5 a.m.,7/31/2012,8/6/2012,5,10,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,5 a.m.,7 a.m.,7/31/2012,8/6/2012,10,75,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,7 a.m.,9 a.m.,7/31/2012,8/6/2012,10,35,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,10 a.m.,11 a.m.,7/31/2012,8/6/2012,5,65,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,12 p.m.,12:30 p.m.,7/31/2012,8/6/2012,5,45,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,3 p.m.,4 p.m.,7/31/2012,8/6/2012,5,25,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,4 p.m.,5 p.m.,7/31/2012,8/6/2012,5,30,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,5 p.m.,5:30 p.m.,7/31/2012,8/6/2012,5,140,Lt. Gov.,Primary,,,
Patane,KRCG,Patrick Media (Thompson Communications),Friends of Peter Kinder,Lt. Gov. Peter Kinder,299858,6 p.m.,6:30 p.m.,7/31/2012,8/6/2012,9,200,Lt. Gov.,Primary,,,
