submitter,station,buyer,advertiser,candidate,contract_id,start_time,end_time,start_date,end_date,spots_per_week,rate_per_spot,office,region,election,length,cancelled,youtube_id,description,name
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,7 a.m.,9 a.m.,7/2/2012,7/8/2012,8,100,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,12 p.m.,12:30 p.m.,7/2/2012,7/8/2012,5,125,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,5 p.m.,5:30 p.m.,7/2/2012,7/8/2012,5,200,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,5:28 p.m.,6 p.m.,7/2/2012,7/8/2012,5,250,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,6 p.m.,6:30 p.m.,7/2/2012,7/8/2012,5,300,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,7 p.m.,8 p.m.,7/2/2012,7/8/2012,1,750,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,9 p.m.,10 p.m.,7/2/2012,7/8/2012,1,1000,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,9 p.m.,10 p.m.,7/2/2012,7/8/2012,1,450,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,10 p.m.,10:35 p.m.,7/2/2012,7/8/2012,1,475,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,6 a.m.,7 a.m.,7/2/2012,7/8/2012,4,125,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,9 p.m.,10 p.m.,7/2/2012,7/8/2012,1,700,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,9 p.m.,10 p.m.,7/2/2012,7/8/2012,1,400,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,8 p.m.,9 p.m.,7/2/2012,7/8/2012,1,800,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,8 p.m.,9 p.m.,7/2/2012,7/8/2012,1,400,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,issue,302500,8 p.m.,9 p.m.,7/2/2012,7/8/2012,1,750,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,12 p.m.,12:30 p.m.,6/25/2012,7/1/2012,4,125,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,5 p.m.,5:30 p.m.,6/25/2012,7/1/2012,4,200,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,5:28 p.m.,6 p.m.,6/25/2012,7/1/2012,4,250,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,6 p.m.,6:30 p.m.,6/25/2012,7/1/2012,4,300,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,7 p.m.,8 p.m.,6/25/2012,7/1/2012,1,750,,,issue,30,no,,,
Patane,KRCG,Target Enterprises,Americans for Prosperity,Issue,302499,9 p.m.,10 p.m.,6/25/2012,7/1/2012,1,750,,,issue,30,no,,,
