candidate,party,title,abbreviation,current_office,region_current_office,office_sought,region_office_sought,incumbent,url
Jay Nixon,Democrat,Governor,Gov.,Governor,Missouri,Governor,Missouri,yes,http://jaynixon.com/
Teresa Hensley,Democrat,County Prosecutor,Co. P.A.,County Prosecutor,Cass County,U.S. Representative,Missouri 4th Congressional District,no,http://www.hensleyforcongress.com/
Sarah Steelman,Republican,,,,,U.S. Senate,Missouri,no,http://www.sarahsteelman.com/
Todd Akin,Republican,U.S. Represenatative,Rep.,U.S. Representative,Missouri 2nd Congressional District,U.S. Senate,Missouri,no,http://www.akin.org/
John Brunner,Republican,,,,,U.S. Senate,Missouri,no,http://johnbrunner.com/
Claire McCaskill,Democrat,U.S. Senator,Sen.,U.S. Senate,Missouri,U.S. Senate,Missouri,yes,http://clairemccaskill.com/
Peter Kinder,Republican,Lieutenant Governor,Lt. Gov.,Lieutenant Governor,Missouri,Lieutenant Governor,Missouri,yes,http://peterkinder.com/
Brad Lager,Republican,State Senator,Sen.,State Senate,State 12th Senate District,Lieutenant Governor,Missouri,no,http://bradlager.com/
Bill Stouffer,Republican,State Senator,Sen.,State Senate,State 21st Senate District,Secretary of State,Missouri,no,http://www.billstouffer.com/
Shane Schoeller,Republican,State Representative,Rep.,State Representative,State 139th House District,Secretary of State,Missouri,no,http://www.shaneschoeller.org/
John Wright,Democrat,,,,,State Representative,State 47th House District,no,http://www.wright4missouri.com/
Dave Spence,Republican,,,,,Governor,Missouri,no,http://www.spenceforgovernor.com/
Clint Zweifel,Democrat,Treasurer,Treas.,State Treasurer,Missouri,State Treasurer,Missouri,yes,http://www.clintformissouri.com/
Jason Kander,Democrat,State Representative,Rep.,State Representative,State 44th House District,Secretary of State,Missouri,no,http://www.jasonkander.com/
Chris Koster,Democrat,Attorney General,Att. Gen.,Attorney General,Missouri,Attorney General,Missouri,yes,http://www.chriskoster.com/
Michael Dixon,Republican,Chief of Police,Chief,Chief of Police,"Belle, Missouri",County Sheriff,"Osage County, Missouri",no,http://michaelforsheriff.com/
