candidate,party,title,abbreviation,current_office,region_current_office,office_sought,region_office_sought,incumbent,primary_win,url
Jay Nixon,Democrat,Governor,Gov.,Governor,Missouri,Governor,Missouri,yes,yes,http://jaynixon.com/
Teresa Hensley,Democrat,County Prosecutor,Co. P.A.,County Prosecutor,Cass County,U.S. Representative,Missouri 4th Congressional District,no,yes,http://www.hensleyforcongress.com/
Sarah Steelman,Republican,,,,,U.S. Senate,Missouri,no,no,http://www.sarahsteelman.com/
Todd Akin,Republican,U.S. Represenatative,Rep.,U.S. Representative,Missouri 2nd Congressional District,U.S. Senate,Missouri,no,yes,http://www.akin.org/
John Brunner,Republican,,,,,U.S. Senate,Missouri,no,no,http://johnbrunner.com/
Claire McCaskill,Democrat,U.S. Senator,Sen.,U.S. Senate,Missouri,U.S. Senate,Missouri,yes,yes,http://clairemccaskill.com/
Peter Kinder,Republican,Lieutenant Governor,Lt. Gov.,Lieutenant Governor,Missouri,Lieutenant Governor,Missouri,yes,yes,http://peterkinder.com/
Brad Lager,Republican,State Senator,Sen.,State Senate,State 12th Senate District,Lieutenant Governor,Missouri,no,no,http://bradlager.com/
Bill Stouffer,Republican,State Senator,Sen.,State Senate,State 21st Senate District,Secretary of State,Missouri,no,no,http://www.billstouffer.com/
Shane Schoeller,Republican,State Representative,Rep.,State Representative,State 139th House District,Secretary of State,Missouri,no,yes,http://www.shaneschoeller.org/
John Wright,Democrat,,,,,State Representative,State 47th House District,no,yes,http://www.wright4missouri.com/
Dave Spence,Republican,,,,,Governor,Missouri,no,yes,http://www.spenceforgovernor.com/
Clint Zweifel,Democrat,Treasurer,Treas.,State Treasurer,Missouri,State Treasurer,Missouri,yes,yes,http://www.clintformissouri.com/
Jason Kander,Democrat,State Representative,Rep.,State Representative,State 44th House District,Secretary of State,Missouri,no,yes,http://www.jasonkander.com/
Chris Koster,Democrat,Attorney General,Att. Gen.,Attorney General,Missouri,Attorney General,Missouri,yes,yes,http://www.chriskoster.com/
Michael Dixon,Republican,Chief of Police,Chief,Chief of Police,"Belle, Missouri",County Sheriff,"Osage County, Missouri",no,,http://michaelforsheriff.com/
Jonathan Dine,Libertarian,,,,,U.S. Senate,Missouri,no,yes,
Jim Higgins ,Libertarian,,,,,Governor,Missouri,no,yes,http://www.lpmo4gov.com/
Susan Montee,Democrat,,,,,Lieutenant Governor,Missouri,no,yes,http://susanmontee.com/
Matthew Copple,Libertarian,,,,,Lieutenant Governor,Missouri,no,yes,
Cynthia Davis,Constitution,,,,,Lieutenant Governor,Missouri,no,yes,http://www.votecynthia.com/
Cisse W. Spragins,Libertarian,,,,,Secretary of State,Missouri,no,yes,
Justin Harter,Constitution,,,,,Secretary of State,Missouri,no,yes,
Cole McNary,Republican,State Representative ,Rep.,State Representative,State 86th House District,State Treasurer,Missouri,no,yes,http://colemcnary.com/
Sean O'Toole,Libertarian,,,,,State Treasurer,Missouri,no,yes,
Ed Martin,Republican,,,,,Attorney General,Missouri,no,yes,http://edmartinformissouri.com/
Dave Browning,Libertarian,,,,,Attorney General,Missouri,no,yes,http://www.libertarian-patriot.com/
Vicky Hartzler,Republican,U.S. Representative,Rep.,U.S. Representative,Missouri 5th Congressional District,U.S. Representative,Missouri 4th Congressional District,yes,yes,http://www.vickyhartzler.com/
Thomas Holbrook,Libertarian,,,,,U.S. Representative,Missouri 4th Congressional District,no,yes,http://www.thomasholbrook.com/
Greg Cowan,Constitution,,,,,U.S. Representative,Missouri 4th Congressional District,no,yes,
