name,type,race,url,description,unique identifier,federal or state
Crossroads Grassroots Policy Strategies (GPS),501(c)(4),issue,http://www.CrossroadsGPS.org,"Crossroads GPS is a 501(c)(4) committee that works in conjunction with American Crossroads, a conservative Super PAC. Both groups were formed in part by Karl Rove, a former advisor and chief of staff to President George W. Bush. Crossroads cannot legally work with or support specific candidates, so the group was running issues ads to promote its agenda, with most of the ads aimed against Claire McCaskill. Crossroads pulled all of its scheduled ads from the states after Todd Akin refused to drop out of the race, following his comments on abortion and ""legitimate rape.""",,
Americans for Prosperity,501(c)(4),issue,http://www.americansforprosperityfoundation.com/,"Americans for Prosperity is a 501(c)(4) committee founded by David Koch, a GOP supporter, and its president is Tim Phillips, a Republican strategist. The group's mission states it advocates for smaller government and low taxes. It has run issue ads aimed at incumbent U.S. Senator Claire McCaskill. Associated with Americans for Prosperity Foundation, a 501(c)(3) organization. ",,
National Republican Senatorial Committee,Party,U.S. Senate,http://www.nrsc.org/,The NRSC's focus is to support Republican candidates running for U.S. Senate.  ,,
Democratic Senatorial Campaign Committee,Party,U.S. Senate,http://www.dscc.org/,The DSCC's focus is to support Democratic candidates running for U.S. Senate.,,
Jay Nixon for Missouri,Candidate,Governor,http://jaynixon.com/,Campaign committee for Jay Nixon,,
Hensley for Congress,Candidate,Missouri 4th Congressional District,http://www.hensleyforcongress.com/,Campaign committee for Teresa Hensley,,
Steelman for U.S. Senate,Candidate,U.S. Senate,http://www.sarahsteelman.com/,Campaign committee for Sarah Steelman,,
Todd Akin for Senate,Candidate,U.S. Senate,http://www.akin.org/,Campaign committee for Todd Akin,,
Brunner for Senate,Candidate,U.S. Senate,http://johnbrunner.com/,Campaign committee for John Brunner,,
McCaskill for Missouri 2012,Candidate,U.S. Senate,http://clairemccaskill.com/,Campaign committee for Claire McCaskill,,
Friends of Peter Kinder,Candidate,Lieutenant Governor,http://peterkinder.com/,Campaign committee for Peter Kinder,,
Citizens for Brad Lager,Candidate,Lieutenant Governor,http://bradlager.com/,Campaign committee for Brad Lager,,
Friends of Bill Stouffer,Candidate,Secretary of State,http://www.billstouffer.com/,Campaign committee for Bill Stouffer,,
Schoeller for Missouri,Candidate,Secretary of State,http://www.shaneschoeller.org/,Campaign committee for Shane Schoeller,,
Citizens to Elect John Wright,Candidate,State 47th House District,http://www.wright4missouri.com/,Campaign committee for John Wright,,
